from_account,to_ip,timestamp
ACC-NORM-001,IP-NORM-001,2026-09-20T11:00:00Z
ACC-NORM-002,IP-NORM-002,2026-09-20T10:00:00Z
ACC-NORM-003,IP-NORM-003,2026-09-20T09:00:00Z
ACC-NORM-004,IP-NORM-004,2026-09-20T08:00:00Z
ACC-NORM-005,IP-NORM-005,2026-09-20T07:00:00Z
ACC-NORM-006,IP-NORM-006,2026-09-20T06:00:00Z
ACC-NORM-007,IP-NORM-007,2026-09-20T05:00:00Z
ACC-NORM-008,IP-NORM-008,2026-09-20T04:00:00Z
ACC-NORM-009,IP-NORM-009,2026-09-20T03:00:00Z
ACC-NORM-010,IP-NORM-010,2026-09-20T02:00:00Z
ACC-RING-001,IP-RING-001,2026-09-20T11:45:00Z
ACC-RING-002,IP-RING-002,2026-09-20T11:30:00Z
ACC-RING-003,IP-RING-003,2026-09-20T11:15:00Z
ACC-RING-004,IP-RING-004,2026-09-20T11:00:00Z
ACC-PROXY-001,IP-ANOMALY-PROXY-88,2026-09-20T11:55:00Z
ACC-PROXY-002,IP-ANOMALY-PROXY-88,2026-09-20T11:50:00Z
ACC-PROXY-003,IP-ANOMALY-PROXY-88,2026-09-20T11:45:00Z
