from_customer,to_account
CUST-NORM-001,ACC-NORM-001
CUST-NORM-002,ACC-NORM-002
CUST-NORM-003,ACC-NORM-003
CUST-NORM-004,ACC-NORM-004
CUST-NORM-005,ACC-NORM-005
CUST-NORM-006,ACC-NORM-006
CUST-NORM-007,ACC-NORM-007
CUST-NORM-008,ACC-NORM-008
CUST-NORM-009,ACC-NORM-009
CUST-NORM-010,ACC-NORM-010
CUST-RING-001,ACC-RING-001
CUST-RING-002,ACC-RING-002
CUST-RING-003,ACC-RING-003
CUST-RING-004,ACC-RING-004
CUST-PROXY-001,ACC-PROXY-001
CUST-PROXY-002,ACC-PROXY-002
CUST-PROXY-003,ACC-PROXY-003
CUST-COLLUDE-001,ACC-COLLUDE-001
CUST-COLLUDE-002,ACC-COLLUDE-002
CUST-COLLUDE-003,ACC-COLLUDE-003
CUST-CHAIN-501,ACC-CHAIN-SOURCE-501
CUST-CHAIN-502,ACC-CHAIN-MULE-502
CUST-CHAIN-503,ACC-CHAIN-MULE-503
