from_account,to_card,since
ACC-NORM-001,CARD-NORM-001,2026-03-14T12:00:00Z
ACC-NORM-002,CARD-NORM-002,2026-03-04T12:00:00Z
ACC-NORM-003,CARD-NORM-003,2026-02-22T12:00:00Z
ACC-NORM-004,CARD-NORM-004,2026-02-12T12:00:00Z
ACC-NORM-005,CARD-NORM-005,2026-02-02T12:00:00Z
ACC-NORM-006,CARD-NORM-006,2026-01-23T12:00:00Z
ACC-NORM-007,CARD-NORM-007,2026-01-13T12:00:00Z
ACC-NORM-008,CARD-NORM-008,2026-01-03T12:00:00Z
ACC-NORM-009,CARD-NORM-009,2025-12-24T12:00:00Z
ACC-NORM-010,CARD-NORM-010,2025-12-14T12:00:00Z
ACC-RING-001,CARD-RING-001,2026-09-04T12:00:00Z
ACC-RING-002,CARD-RING-002,2026-09-03T12:00:00Z
ACC-RING-003,CARD-RING-003,2026-09-02T12:00:00Z
ACC-RING-004,CARD-RING-004,2026-09-01T12:00:00Z
