id,ip_address,asn,country,is_proxy_vpn
IP-NORM-001,192.0.2.11,AS64496,US,False
IP-NORM-002,192.0.2.12,AS64496,US,False
IP-NORM-003,192.0.2.13,AS64496,US,False
IP-NORM-004,192.0.2.14,AS64496,US,False
IP-NORM-005,192.0.2.15,AS64496,US,False
IP-NORM-006,192.0.2.16,AS64496,US,False
IP-NORM-007,192.0.2.17,AS64496,US,False
IP-NORM-008,192.0.2.18,AS64496,US,False
IP-NORM-009,192.0.2.19,AS64496,US,False
IP-NORM-010,192.0.2.20,AS64496,US,False
IP-RING-001,198.51.100.21,AS64497,US,False
IP-RING-002,198.51.100.22,AS64497,US,False
IP-RING-003,198.51.100.23,AS64497,US,False
IP-RING-004,198.51.100.24,AS64497,US,False
IP-ANOMALY-PROXY-88,203.0.113.88,AS64498,NL,True
