from_transaction,to_merchant
TXN-NORM-001-1,MERCH-GROCERY-01
TXN-NORM-001-2,MERCH-STREAM-02
TXN-NORM-002-1,MERCH-GROCERY-01
TXN-NORM-002-2,MERCH-STREAM-02
TXN-NORM-003-1,MERCH-GROCERY-01
TXN-NORM-003-2,MERCH-STREAM-02
TXN-NORM-004-1,MERCH-GROCERY-01
TXN-NORM-004-2,MERCH-STREAM-02
TXN-NORM-005-1,MERCH-GROCERY-01
TXN-NORM-005-2,MERCH-STREAM-02
TXN-NORM-006-1,MERCH-GROCERY-01
TXN-NORM-006-2,MERCH-STREAM-02
TXN-NORM-007-1,MERCH-GROCERY-01
TXN-NORM-007-2,MERCH-STREAM-02
TXN-NORM-008-1,MERCH-GROCERY-01
TXN-NORM-008-2,MERCH-STREAM-02
TXN-NORM-009-1,MERCH-GROCERY-01
TXN-NORM-009-2,MERCH-STREAM-02
TXN-NORM-010-1,MERCH-GROCERY-01
TXN-NORM-010-2,MERCH-STREAM-02
TXN-RING-001,MERCH-CRYPTO-COLLUSION-99
TXN-RING-001-B,MERCH-CRYPTO-COLLUSION-99
TXN-RING-001-C,MERCH-CRYPTO-COLLUSION-99
TXN-RING-002,MERCH-CRYPTO-COLLUSION-99
TXN-RING-003,MERCH-CRYPTO-COLLUSION-99
TXN-RING-004,MERCH-CRYPTO-COLLUSION-99
TXN-PROXY-001,MERCH-ECOM-03
TXN-PROXY-002,MERCH-ECOM-03
TXN-PROXY-003,MERCH-ECOM-03
TXN-COLLUDE-001-1,MERCH-CRYPTO-COLLUSION-99
TXN-COLLUDE-001-2,MERCH-CRYPTO-COLLUSION-99
TXN-COLLUDE-002-1,MERCH-CRYPTO-COLLUSION-99
TXN-COLLUDE-002-2,MERCH-CRYPTO-COLLUSION-99
TXN-COLLUDE-003-1,MERCH-CRYPTO-COLLUSION-99
TXN-COLLUDE-003-2,MERCH-CRYPTO-COLLUSION-99
TXN-CHAIN-HOP-3,MERCH-OFFSHORE-504
