id,device_fingerprint,device_type,os,browser,is_emulator
DEV-NORM-001,SYNTH_HASH_93AECC1F58716132,Mobile,Android 14,Chrome Mobile,False
DEV-NORM-002,SYNTH_HASH_8B8D038D5E442879,Mobile,iOS 17.4,Mobile Safari,False
DEV-NORM-003,SYNTH_HASH_7563FA7CA951BCDD,Mobile,Android 14,Chrome Mobile,False
DEV-NORM-004,SYNTH_HASH_D3A552894C5ED4D5,Mobile,iOS 17.4,Mobile Safari,False
DEV-NORM-005,SYNTH_HASH_AC48F9EFC166EAFA,Mobile,Android 14,Chrome Mobile,False
DEV-NORM-006,SYNTH_HASH_64EE5A0D469DAD10,Mobile,iOS 17.4,Mobile Safari,False
DEV-NORM-007,SYNTH_HASH_E05C14AB6A7103DA,Mobile,Android 14,Chrome Mobile,False
DEV-NORM-008,SYNTH_HASH_6B0E2E8DF6A13990,Mobile,iOS 17.4,Mobile Safari,False
DEV-NORM-009,SYNTH_HASH_1FE51638BF79CA14,Mobile,Android 14,Chrome Mobile,False
DEV-NORM-010,SYNTH_HASH_EA3569759FB47195,Mobile,iOS 17.4,Mobile Safari,False
DEV-ROOT-EMU-77,SYNTH_HASH_A0757BF90B1E5DF5,Emulator,Android 10 (Rooted/Spoofed),HeadlessChrome/112,True
DEV-PROXY-001,SYNTH_HASH_AE7C621254A26617,Desktop,Linux x86_64,Firefox/115,False
DEV-PROXY-002,SYNTH_HASH_ED14577810F0E3E0,Desktop,Linux x86_64,Firefox/115,False
DEV-PROXY-003,SYNTH_HASH_5029BC2E326D96AE,Desktop,Linux x86_64,Firefox/115,False
