from_account,to_transaction
ACC-NORM-001,TXN-NORM-001-1
ACC-NORM-001,TXN-NORM-001-2
ACC-NORM-002,TXN-NORM-002-1
ACC-NORM-002,TXN-NORM-002-2
ACC-NORM-003,TXN-NORM-003-1
ACC-NORM-003,TXN-NORM-003-2
ACC-NORM-004,TXN-NORM-004-1
ACC-NORM-004,TXN-NORM-004-2
ACC-NORM-005,TXN-NORM-005-1
ACC-NORM-005,TXN-NORM-005-2
ACC-NORM-006,TXN-NORM-006-1
ACC-NORM-006,TXN-NORM-006-2
ACC-NORM-007,TXN-NORM-007-1
ACC-NORM-007,TXN-NORM-007-2
ACC-NORM-008,TXN-NORM-008-1
ACC-NORM-008,TXN-NORM-008-2
ACC-NORM-009,TXN-NORM-009-1
ACC-NORM-009,TXN-NORM-009-2
ACC-NORM-010,TXN-NORM-010-1
ACC-NORM-010,TXN-NORM-010-2
ACC-RING-001,TXN-RING-001
ACC-RING-001,TXN-RING-001-B
ACC-RING-001,TXN-RING-001-C
ACC-RING-002,TXN-RING-002
ACC-RING-003,TXN-RING-003
ACC-RING-004,TXN-RING-004
ACC-PROXY-001,TXN-PROXY-001
ACC-PROXY-002,TXN-PROXY-002
ACC-PROXY-003,TXN-PROXY-003
ACC-COLLUDE-001,TXN-COLLUDE-001-1
ACC-COLLUDE-001,TXN-COLLUDE-001-2
ACC-COLLUDE-002,TXN-COLLUDE-002-1
ACC-COLLUDE-002,TXN-COLLUDE-002-2
ACC-COLLUDE-003,TXN-COLLUDE-003-1
ACC-COLLUDE-003,TXN-COLLUDE-003-2
ACC-CHAIN-SOURCE-501,TXN-CHAIN-HOP-1
ACC-CHAIN-MULE-502,TXN-CHAIN-HOP-2
ACC-CHAIN-MULE-503,TXN-CHAIN-HOP-3
